Job Title,Department/Ministry,Qualification Required,Age Limit,Experience Required,Job Location,Salary Range,Application Deadline,Selection Process,Career Path
Mechanic,Ministry of Finance,12th Pass,23-36,3 years,Bangalore,32670-75399 INR,21-09-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Assistant Engineer,Ministry of Defense,B.Com,26-35,3 years,Patna,45925-61530 INR,05-10-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
IPS Officer,Ministry of Agriculture,Diploma,28-39,2 years,Guwahati,37903-84034 INR,22-11-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Railway Engineer,Ministry of Health,Diploma,28-35,4 years,Guwahati,39190-66906 INR,22-11-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
IRS Officer,Ministry of Home Affairs,Bachelor's Degree,24-38,2 years,Bangalore,30544-79096 INR,03-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Mechanic,Ministry of Rural Development,PhD,22-40,5 years,Patna,41502-81945 INR,16-11-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Junior Translator,Ministry of Finance,B.Sc,21-37,2 years,Lucknow,33493-85803 INR,21-09-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Audit Officer,Ministry of Environment,PhD,21-40,4 years,Hyderabad,30910-66690 INR,22-10-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
IRS Officer,Ministry of Defense,Bachelor's Degree,26-40,3 years,Patna,46192-69495 INR,18-11-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Nurse,Ministry of Agriculture,B.Tech,21-37,0 years,Chennai,47087-87505 INR,08-11-2024,"Physical Test, Medical Test",Assistant Professor > Associate Professor > Professor > Head of Department
Junior Assistant,Ministry of Agriculture,B.Tech,23-35,0 years,New Delhi,36126-65234 INR,20-11-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
UPSC NDA,Ministry of Education,M.Tech,29-40,4 years,Chennai,36423-67936 INR,05-11-2024,"Physical Test, Medical Test",Internship > Junior Position > Senior Position > Management
SSC CGL Officer,Ministry of Science and Technology,Bachelor's Degree,28-39,5 years,Ranchi,33963-74038 INR,31-10-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Railway Engineer,Ministry of Railways,Master's Degree,23-35,1 years,Hyderabad,38633-73440 INR,27-10-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
Veterinary Doctor,Ministry of Railways,10th Pass,26-40,5 years,Chandigarh,32376-81719 INR,16-09-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Medical Officer,Ministry of Home Affairs,M.Tech,22-36,4 years,Jaipur,35489-75475 INR,29-09-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Police Sub Inspector,Ministry of Agriculture,PhD,23-36,3 years,Mumbai,37515-81279 INR,17-10-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
Railway Engineer,Ministry of Science and Technology,B.Sc,21-37,5 years,New Delhi,42652-75153 INR,07-10-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Bank PO,Ministry of Agriculture,PhD,22-38,3 years,Chennai,43955-72135 INR,13-10-2024,"Skill Test, Interview",Trainee > Assistant Officer > Officer > Senior Officer
IAS Officer,Ministry of Home Affairs,M.Sc,21-36,3 years,Chandigarh,34554-65617 INR,16-09-2024,"Written Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Assistant Professor,Ministry of Finance,Diploma,21-37,2 years,New Delhi,47192-71329 INR,23-09-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
UPSC NDA,Ministry of Education,M.Sc,28-38,4 years,Jaipur,35437-88253 INR,11-09-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Defense Officer,Ministry of Agriculture,B.Tech,26-38,1 years,Bhopal,38449-82600 INR,20-10-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
SSC CGL Officer,Ministry of Science and Technology,10th Pass,22-39,4 years,Ranchi,37712-64098 INR,06-11-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Gram Sevak,Ministry of Environment,PhD,26-35,2 years,Chennai,39042-64719 INR,19-11-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Teacher,Ministry of Railways,10th Pass,30-38,2 years,Ranchi,31186-75970 INR,27-09-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Audit Officer,Ministry of Rural Development,M.Tech,25-38,4 years,Guwahati,39385-88816 INR,27-10-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Electrician,Ministry of Defense,Master's Degree,23-40,4 years,Pune,32953-72444 INR,09-09-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Fireman,Ministry of Home Affairs,PhD,30-40,3 years,Hyderabad,42911-86213 INR,17-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Public Prosecutor,Ministry of Defense,Diploma,23-39,5 years,Chennai,49817-74677 INR,09-09-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Public Prosecutor,Ministry of Rural Development,Master's Degree,28-37,4 years,New Delhi,46885-76812 INR,16-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Railway Engineer,Ministry of Home Affairs,10th Pass,21-40,0 years,Chennai,34719-71732 INR,06-11-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Lab Assistant,Ministry of Science and Technology,Master's Degree,24-35,1 years,New Delhi,36573-76054 INR,10-11-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Forest Officer,Ministry of Home Affairs,Diploma,21-35,1 years,Pune,30924-64860 INR,17-11-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Village Development Officer,Ministry of Home Affairs,B.Tech,22-36,5 years,Pune,35760-61108 INR,12-11-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
IFS Officer,Ministry of Agriculture,Master's Degree,27-38,3 years,Mumbai,46498-75961 INR,21-10-2024,"Physical Test, Written Exam",Trainee > Assistant Officer > Officer > Senior Officer
Defense Officer,Ministry of Education,MBBS,25-36,0 years,Ranchi,35927-82048 INR,06-11-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
Scientist B,Ministry of Agriculture,MBBS,21-38,4 years,Chennai,31895-65457 INR,07-11-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Clerk,Ministry of Science and Technology,B.Tech,30-35,1 years,Mumbai,49882-69340 INR,27-09-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
Bank PO,Ministry of Home Affairs,Master's Degree,24-35,1 years,Hyderabad,42691-77697 INR,21-11-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
Agricultural Officer,Ministry of Railways,12th Pass,29-36,5 years,Hyderabad,42249-88728 INR,14-11-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
IAS Officer,Ministry of Defense,MBBS,25-38,2 years,Patna,45457-63497 INR,02-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Data Entry Operator,Ministry of Defense,M.Sc,28-35,3 years,Bhopal,39549-68177 INR,13-11-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Assistant Professor,Ministry of Education,12th Pass,26-38,3 years,Bhopal,41292-85390 INR,04-10-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
IAS Officer,Ministry of Environment,10th Pass,30-38,5 years,Bhopal,41672-65004 INR,12-11-2024,"Physical Test, Medical Test",Junior Engineer > Senior Engineer > Chief Engineer
IPS Officer,Ministry of Science and Technology,MBBS,24-35,1 years,New Delhi,45986-78629 INR,21-10-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Pharmacist,Ministry of Finance,Diploma,28-39,4 years,Ranchi,31218-68803 INR,25-11-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Assistant Engineer,Ministry of Science and Technology,12th Pass,25-36,4 years,Ahmedabad,43478-69463 INR,17-11-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
SSC CGL Officer,Ministry of Health,B.Tech,25-38,0 years,Guwahati,48227-63092 INR,25-10-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Nurse,Ministry of Defense,12th Pass,26-35,3 years,Ahmedabad,30006-66648 INR,23-09-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Senior Level > Department Head
Scientist B,Ministry of Science and Technology,10th Pass,27-37,0 years,Guwahati,46416-79133 INR,14-11-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
IFS Officer,Ministry of Home Affairs,PhD,23-39,0 years,Ahmedabad,44574-64619 INR,19-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
Assistant Professor,Ministry of Environment,Bachelor's Degree,21-38,5 years,Ranchi,41345-72864 INR,17-10-2024,"Physical Test, Medical Test",Assistant Professor > Associate Professor > Professor > Head of Department
Police Sub Inspector,Ministry of Home Affairs,M.Tech,27-38,4 years,Lucknow,47159-82052 INR,10-10-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
SSC CGL Officer,Ministry of Railways,Diploma,24-36,0 years,Kolkata,34546-67128 INR,21-10-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Medical Officer,Ministry of Health,10th Pass,27-39,2 years,Ranchi,30812-79245 INR,24-09-2024,"Skill Test, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Driver,Ministry of Defense,12th Pass,30-39,2 years,Mumbai,43506-82189 INR,16-11-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
Assistant Commandant,Ministry of Science and Technology,10th Pass,25-39,2 years,New Delhi,47038-78932 INR,20-11-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
Veterinary Doctor,Ministry of Education,Diploma,27-40,5 years,New Delhi,36636-68482 INR,25-11-2024,"Physical Test, Medical Test",Assistant Professor > Associate Professor > Professor > Head of Department
Junior Assistant,Ministry of Railways,PhD,22-36,3 years,Patna,32024-73276 INR,30-10-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
Postman,Ministry of Science and Technology,B.Com,30-39,1 years,Jaipur,37078-73368 INR,04-10-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Electrician,Ministry of Finance,B.Tech,27-35,1 years,Ahmedabad,33387-83637 INR,17-09-2024,"Written Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Public Prosecutor,Ministry of Defense,B.Tech,27-37,1 years,Chennai,32616-79137 INR,21-09-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Agricultural Officer,Ministry of Rural Development,Master's Degree,21-35,2 years,New Delhi,49722-78073 INR,11-09-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Scientist B,Ministry of Health,B.Sc,22-40,4 years,Pune,43375-70709 INR,10-10-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Data Entry Operator,Ministry of Environment,B.Sc,30-37,1 years,Jaipur,41537-62869 INR,22-09-2024,"Physical Test, Medical Test",Junior Engineer > Senior Engineer > Chief Engineer
Assistant Commandant,Ministry of Railways,PhD,21-37,5 years,Jaipur,44637-88038 INR,31-10-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Data Entry Operator,Ministry of Health,Master's Degree,24-37,4 years,Guwahati,31569-72124 INR,07-10-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Junior Translator,Ministry of Home Affairs,10th Pass,22-38,1 years,Pune,35632-65874 INR,23-11-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Mechanic,Ministry of Finance,Diploma,25-35,5 years,Jaipur,46014-62383 INR,22-09-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
IPS Officer,Ministry of Railways,PhD,25-35,1 years,New Delhi,48427-62239 INR,26-09-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
Audit Officer,Ministry of Home Affairs,B.Com,21-40,4 years,Bhopal,48019-86865 INR,09-09-2024,"Written Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Senior Resident,Ministry of Science and Technology,Bachelor's Degree,23-37,0 years,Mumbai,43040-84501 INR,11-10-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Teacher,Ministry of Home Affairs,10th Pass,24-37,4 years,Hyderabad,46942-67390 INR,10-11-2024,"Physical Test, Medical Test",Assistant Professor > Associate Professor > Professor > Head of Department
Stenographer,Ministry of Environment,Bachelor's Degree,28-38,5 years,Hyderabad,39533-60156 INR,03-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
IPS Officer,Ministry of Health,B.Sc,30-39,0 years,Guwahati,30276-78378 INR,12-09-2024,"Written Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Driver,Ministry of Environment,PhD,25-36,2 years,Pune,32234-86597 INR,31-10-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Stenographer,Ministry of Education,Bachelor's Degree,27-38,5 years,Pune,42168-76356 INR,16-09-2024,"Physical Test, Medical Test",Internship > Junior Position > Senior Position > Management
Junior Assistant,Ministry of Health,M.Sc,21-35,4 years,Bangalore,31073-75194 INR,14-11-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Junior Assistant,Ministry of Railways,B.Tech,25-40,2 years,Chennai,48555-74022 INR,06-11-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Lecturer,Ministry of Finance,B.Tech,21-36,3 years,Hyderabad,44382-64671 INR,09-11-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
IRS Officer,Ministry of Defense,12th Pass,29-36,1 years,Patna,41134-82558 INR,17-09-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
Junior Engineer,Ministry of Environment,PhD,26-40,2 years,Pune,36520-71566 INR,25-10-2024,"Physical Test, Medical Test",Junior Engineer > Senior Engineer > Chief Engineer
Police Sub Inspector,Ministry of Finance,Bachelor's Degree,26-37,2 years,Jaipur,33113-87724 INR,19-10-2024,"Skill Test, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Audit Officer,Ministry of Education,Bachelor's Degree,28-40,1 years,Kolkata,32760-80120 INR,09-10-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Bank PO,Ministry of Finance,Bachelor's Degree,22-39,2 years,Jaipur,45155-77543 INR,04-10-2024,"Skill Test, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Junior Assistant,Ministry of Education,Master's Degree,23-36,4 years,Chennai,44565-85998 INR,30-10-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
